"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"A Nightmare on Elm Street 5: The Dream Child ",89,"Stephen Hopkins",81,"Lisa Wilcox",321,"Kelly Jo Minter",101,"Matthew Borlenghi",92,88,227,29659,584,1000,"child|comic book|dream|murderer|nightmare",0," Black and White","Fantasy|Horror|Romance|Thriller",1989,"English","USA","X",1.85,"http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1",22168359,8e+06,5.1
"Stuck on You ",118,"Bobby Farrelly",101,"Matt Damon",13000,"Terence Bernie Hines",390,"Seymour Cassel",327,123,154,44453,14036,0,"actor|conjoined twins|cook|internet|short order cook",2,"Color","Comedy",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1",33828318,5.5e+07,5.8
"Wayne's World ",94,"Penelope Spheeris",122,"Tia Carrere",1000,"Lara Flynn Boyle",619,"Kurt Fuller",617,61,176,114610,4263,0,"basement|lead actor's first film|long hair|public access|title directed by female",2,"Color","Comedy|Music",1992,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1",121697350,2e+07,7
"Goodfellas ",146,"Martin Scorsese",17000,"Robert De Niro",22000,"Mike Starr",854,"Paul Sorvino",635,192,989,728685,24783,25000,"betrayal|gangster|mafia|organized crime|robbery",3,"Color","Biography|Crime|Drama",1990,"English","USA","R",1.85,"http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1",46836394,2.5e+07,8.7
"Jurassic Park III ",92,"Joe Johnston",394,"Michael Jeter",693,"Trevor Morgan",595,"Alessandro Nivola",527,198,1236,219501,2574,0,"dinosaur|island|jurassic park|paleontologist|search",0,"Color","Action|Adventure|Sci-Fi|Thriller",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1",181166115,9.3e+07,5.9
"The Red Violin ",130,"François Girard",63,"Johannes Silberschneider",24,"Clotilde Mollet",3,"Carlo Cecchi",2,94,247,26832,29,0,"auction|montreal|secret|violin|violinist",3,"Color","Drama|Music|Mystery|Romance",1998,"French","Canada","R",1.85,"http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1",9473382,1e+07,7.7
"You Don't Mess with the Zohan ",113,"Dennis Dugan",221,"Adam Sandler",11000,"Sayed Badreya",600,"Kevin Nealon",503,198,380,156348,13446,0,"hair stylist|jew|landlord|muslim|palestinian",0,"Color","Action|Comedy",2008,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1",100018837,9e+07,5.5
"Just Like Heaven ",95,"Mark Waters",70,"Jon Heder",970,"Ivana Milicevic",834,"Willie Garson",512,142,263,82819,2876,0,"apartment|architect|coma|doctor|spirit",1,"Color","Comedy|Fantasy|Romance",2005,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1",48291624,5.8e+07,6.7
"Killing Zoe ",99,"Roger Avary",675,"Eric Stoltz",902,"Salvator Xuereb",424,"Jean-Hugues Anglade",164,37,93,17322,1582,853,"bank|bastille day|call girl|childhood friend|drugs",0,"Color","Crime|Drama|Thriller",1993,"English","France","R",1.85,"http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1",418953,1500000,6.5
"Colombiana ",112,"Olivier Megaton",118,"Jordi Mollà",877,"Callum Blue",738,"Jesse Borrego",674,201,203,76498,3432,15000,"female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt",0,"Color","Action|Crime|Drama|Thriller",2011,"English","France","PG-13",2.35,"http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1",36665854,4e+07,6.4
"The Notebook ",123,"Nick Cassavetes",415,"Ryan Gosling",33000,"Kevin Connolly",638,"Gena Rowlands",545,177,1111,396396,34495,57000,"class differences|letter|nursing home|second chance|summer love",0,"Color","Drama|Romance",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1",64286,2.9e+07,7.9
"The Haunting ",113,"Jan de Bont",101,"Liam Neeson",14000,"Lili Taylor",960,"Virginia Madsen",913,167,805,58184,17786,0,"greenhouse|haunted house|horror movie remake|mansion|old house",0,"Color","Fantasy|Horror|Mystery|Thriller",1999,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1",91188905,8e+07,4.9
"Alvin and the Chipmunks: Chipwrecked ",87,"Mike Mitchell",31,"Amy Poehler",1000,"Jesse McCartney",1000,"Lauren Gottlieb",733,91,56,22838,4073,0,"chipmunk|cruise ship|football ball|overboard|tennis ball",0,"Color","Adventure|Animation|Comedy|Family|Fantasy|Music",2011,"English","USA","G",1.85,"http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1",133103929,7.5e+07,4.4
"Screwed ",81,"Scott Alexander",25,"Sarah Silverman",931,"Dave Chappelle",744,"Sherman Hemsley",654,29,69,6965,3848,262,"chauffeur|disorganized crime|dog|ransom|slapstick",0,"Color","Comedy|Crime",2000,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0156323/?ref_=fn_tt_tt_1",6982680,1e+07,5.7
"Charlie Bartlett ",97,"Jon Poll",20,"Robert Downey Jr.",21000,"Megan Park",569,"Hope Davis",442,146,124,56654,22577,0,"drugs|high school|prescription drugs|private school|student",5,"Color","Comedy|Drama|Romance",2007,"English","USA","R",1.85,"http://www.imdb.com/title/tt0423977/?ref_=fn_tt_tt_1",3950294,1.2e+07,7
"The Amazing Spider-Man ",153,"Marc Webb",464,"Emma Stone",15000,"Andrew Garfield",10000,"Chris Zylka",963,599,1225,451803,28489,56000,"lizard|outcast|spider|spider man|teenager",0,"Color","Action|Adventure|Fantasy",2012,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1",262030663,2.3e+08,7
"Dredd ",95,"Pete Travis",38,"Wood Harris",409,"Jason Cope",107,"Rakie Ayola",20,432,588,203458,578,46000,"brutality|dark humor|female antagonist|female warrior|post apocalypse",0,"Color","Action|Sci-Fi",2012,"English","UK","R",2.35,"http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1",13401683,3.5e+07,7.1
"A View to a Kill ",131,"John Glen",46,"Patrick Macnee",1000,"Alison Doody",439,"Tanya Roberts",433,108,300,68565,2943,0,"computer|earthquake|microchip|official james bond series|silicon valley",2,"Color","Action|Adventure|Thriller",1985,"English","UK","PG",2.35,"http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1",50300000,3e+07,6.3
"Random Hearts ",133,"Sydney Pollack",521,"Harrison Ford",11000,"Kristin Scott Thomas",1000,"Bill Cobbs",970,96,290,17025,16710,295,"death|plane crash|police|police sergeant|politician",1,"Color","Drama|Mystery|Romance",1999,"English","USA","R",1.85,"http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1",31054924,6.4e+07,5.1
"The House of Mirth ",135,"Terence Davies",25,"Eric Stoltz",902,"Anthony LaPaglia",576,"Elizabeth McGovern",553,96,181,6377,2735,345,"high society|love|money|reputation|wealth",0,"Color","Drama|Romance",2000,"English","UK","PG",2.35,"http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1",3041803,1e+07,7.1
"Captive ",97,"Jerry Jameson",5,"David Oyelowo",1000,"Leonor Varela",426,"Sydelle Noel",349,39,22,3911,2739,0,"auto theft|based on true story|drug addict|kidnapping|violence",1,"Color","Crime|Drama|Thriller",2015,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1",2557668,2e+06,5.3
"Mortal Kombat: Annihilation ",95,"John R. Leonetti",40,"Brian Thompson",663,"Talisa Soto",349,"Robin Shou",342,59,256,36363,2266,1000,"alternate reality|battle|martial arts|mortal kombat|warrior",0,"Color","Action|Adventure|Fantasy|Sci-Fi|Thriller",1997,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1",35927406,3e+07,3.7
"TRON: Legacy ",125,"Joseph Kosinski",364,"Jeff Bridges",12000,"Olivia Wilde",10000,"James Frain",1000,469,665,264186,25549,30000,"arcade|bridge|disappearance|escape|warrior",0,"Color","Action|Adventure|Sci-Fi",2010,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1",172051787,1.7e+08,6.8
